1,2,layer,prompt_id
-0.2493896484375,-0.978515625,14,p008
-0.1846923828125,-0.46142578125,15,p008
-0.88623046875,-2.830078125,16,p008
1.458984375,-0.63134765625,17,p008
3.04296875,1.21875,18,p008
2.931640625,0.974609375,19,p008
3.330078125,1.609375,20,p008
4.16796875,2.396484375,21,p008
3.513671875,2.33203125,22,p008
3.435546875,1.7763671875,23,p008
4.67578125,3.0234375,24,p008
2.853515625,1.9775390625,25,p008
2.876953125,1.9404296875,26,p008
2.033203125,1.357421875,27,p008
3.26171875,1.080078125,28,p008
6.66015625,6.203125,29,p008
6.9140625,6.75390625,30,p008
6.859375,7.83984375,31,p008
9.0,10.0390625,32,p008
12.4453125,12.859375,33,p008
14.2890625,14.6640625,34,p008
23.46875,23.328125,35,p008
-0.446533203125,-0.98486328125,0,p009
-1.958984375,-2.015625,1,p009
-1.478515625,-1.6181640625,2,p009
-1.6318359375,-0.83984375,3,p009
-0.307373046875,1.6962890625,4,p009
1.99609375,3.076171875,5,p009
1.490234375,1.4853515625,6,p009
2.48046875,2.716796875,7,p009
3.15625,3.193359375,8,p009
1.650390625,1.7373046875,9,p009
1.578125,0.67333984375,10,p009
3.421875,1.818359375,11,p009
3.849609375,2.626953125,12,p009
1.353515625,0.28662109375,13,p009
2.056640625,0.91552734375,14,p009
1.611328125,1.166015625,15,p009
0.7626953125,-0.9970703125,16,p009
4.15625,1.1611328125,17,p009
4.3125,1.5078125,18,p009
1.9853515625,0.9580078125,19,p009
3.6875,2.765625,20,p009
3.578125,2.453125,21,p009
2.736328125,2.236328125,22,p009
2.46875,2.49609375,23,p009
1.83203125,1.8193359375,24,p009
1.22265625,1.8564453125,25,p009
0.552734375,0.88623046875,26,p009
-0.415283203125,0.338134765625,27,p009
-0.8955078125,-0.206787109375,28,p009
0.311279296875,0.73486328125,29,p009
0.85986328125,1.4482421875,30,p009
1.4267578125,2.490234375,31,p009
0.446044921875,2.24609375,32,p009
6.1875,7.78515625,33,p009
12.75,14.5,34,p009
17.078125,17.875,35,p009
-0.008819580078125,-0.43896484375,0,p010
-1.3642578125,-1.32421875,1,p010
-1.2109375,-1.18359375,2,p010
-1.287109375,-0.168212890625,3,p010
-0.1781005859375,2.044921875,4,p010
2.154296875,3.580078125,5,p010
1.8701171875,2.02734375,6,p010
3.734375,3.8125,7,p010
3.375,3.923828125,8,p010
2.205078125,2.787109375,9,p010
0.96044921875,1.3505859375,10,p010
0.77587890625,0.41015625,11,p010
1.3193359375,1.31640625,12,p010
0.71044921875,-0.2059326171875,13,p010
1.4873046875,-0.2169189453125,14,p010
0.317138671875,-0.85009765625,15,p010
0.66064453125,-2.205078125,16,p010
2.779296875,0.061492919921875,17,p010
3.306640625,1.07421875,18,p010
3.181640625,1.6455078125,19,p010
3.4375,2.27734375,20,p010
4.203125,3.265625,21,p010
4.84765625,3.59375,22,p010
5.078125,4.15625,23,p010
5.29296875,3.873046875,24,p010
3.9140625,2.740234375,25,p010
3.8359375,2.32421875,26,p010
2.32421875,1.669921875,27,p010
4.12890625,2.13671875,28,p010
7.83984375,4.07421875,29,p010
8.484375,4.48828125,30,p010
8.328125,4.84765625,31,p010
10.59375,6.73828125,32,p010
13.0859375,8.9921875,33,p010
16.140625,12.4375,34,p010
22.796875,20.109375,35,p010
